country,ISO_Alpha_3,survey,year,age_min,age_max,prop_circumcised,ci_lower,ci_upper,num_uncircumcised,num_circumcised
Ethiopia,ETH,ET2011DHS,2011,15,19,0.878048453,0.84842281,0.902548871,366.630102,2639.728658
Ethiopia,ETH,ET2011DHS,2011,20,24,0.913961944,0.871285284,0.943407798,198.880539,2112.660976
Ethiopia,ETH,ET2011DHS,2011,25,29,0.937615107,0.912382851,0.95593187,142.939821,2148.317138
Ethiopia,ETH,ET2011DHS,2011,30,34,0.93516575,0.90651353,0.955467875,95.463783,1376.964496
Ethiopia,ETH,ET2011DHS,2011,35,39,0.938302618,0.909668911,0.958276147,101.589318,1544.984889
Ethiopia,ETH,ET2011DHS,2011,40,44,0.947842886,0.92395759,0.964513838,58.439227,1062.006716
Ethiopia,ETH,ET2011DHS,2011,45,49,0.949183152,0.916766603,0.969396027,48.349127,903.08979
Ethiopia,ETH,ET2011DHS,2011,50,54,0.956214721,0.930699954,0.972611947,55.848982,1219.670638
Ethiopia,ETH,ET2016DHS,2016,15,19,0.866991792,0.835156366,0.893463298,340.507977,2219.544379
Ethiopia,ETH,ET2016DHS,2016,20,24,0.903376381,0.873248923,0.926941951,181.501284,1696.934716
Ethiopia,ETH,ET2016DHS,2016,25,29,0.917447647,0.8848878,0.941407652,162.77015,1808.950152
Ethiopia,ETH,ET2016DHS,2016,30,34,0.930027301,0.891406083,0.955597155,114.145147,1517.136029
Ethiopia,ETH,ET2016DHS,2016,35,39,0.951817532,0.918835291,0.971808271,66.714932,1317.915928
Ethiopia,ETH,ET2016DHS,2016,40,44,0.945689241,0.916370952,0.965120477,65.305854,1137.141972
Ethiopia,ETH,ET2016DHS,2016,45,49,0.945639599,0.915094941,0.965608764,51.464724,895.267149
Ethiopia,ETH,ET2016DHS,2016,50,54,0.952541922,0.925857259,0.969934401,51.276741,1029.187175
Kenya,KEN,KE2003DHS,2003,15,19,0.715,0.663,0.762,243.7,612.3
Kenya,KEN,KE2003DHS,2003,20,24,0.89,0.852,0.919,75.1,606
Kenya,KEN,KE2003DHS,2003,25,29,0.887,0.845,0.92,57,449.3
